location,url,already_scraped,results_published
Enschede,https://fwango.io/enschedeopen,true,true
Groningen,https://fwango.io/groningenopen23,true,true
Amsterdam,https://fwango.io/amsterdamopen2023,true,true
NK,https://fwango.io/nkroundnet2023,true,true
Enschede,https://fwango.io/rnlindoorenschede,true,true
Amsterdam,https://fwango.io/roundnetamsterdamindoor2024,true,true
Groningen,https://fwango.io/indoorgroningen2024,true,true
Enschede,https://fwango.io/enschdegrandslam,true,true
Groningen,https://fwango.io/grandslamgroningen,true,true
Amsterdam,https://fwango.io/amsterdam-grand-slam,true,true
NK,https://fwango.io/nkroundnet2024,true,true
EnschedeIndoor,https://fwango.io/rnlindoorgrandslamenschede2425,true,true
GroningenIndoor,https://fwango.io/rnlindoorgrandslamgroningen2425,true,true
AmsterdamIndoor,https://fwango.io/roundnet-amsterdam-grandslam,true,true
UtrechtIndoor,https://fwango.io/indoorutrecht,true,true
Groningen,https://fwango.io/groningenoutdoor2025,true,true
Enschede,https://fwango.io/enschede-grandslam-2025,true,true
Amsterdam,https://fwango.io/grandslam-amsterdam-open,true,true
Almere,https://fwango.io/nkroundnet2025,false,true
