name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Jarec Schouten,1,4880,2.0,900.0,1.0,1360.0,1.0,1840.0,2.0,1440.0,1.0,1460.0,1.0,1480.0,1.0,1480.0,1.0,1560.0,,,7.0,608.0,3.0,1312.0
Ravi Kandula,2,4754,,,,,1.0,1840.0,1.0,1600.0,2.0,1314.0,,,,,,,,,,,,
Aleksandrs Juška,3,4680,2.0,900.0,,,,,2.0,1440.0,1.0,1460.0,1.0,1480.0,1.0,1480.0,1.0,1560.0,,,,,1.0,1640.0
Stan van Manen,4,4092,8.0,400.0,,,7.0,736.0,3.0,1280.0,3.0,1168.0,,,3.0,1184.0,4.0,1092.0,1.0,1500.0,18.0,228.0,3.0,1312.0
Rudo Brus,5,3924,11.0,300.0,6.0,680.0,6.0,920.0,6.0,800.0,8.0,584.0,10.0,444.0,,,3.0,1248.0,3.0,1200.0,,,2.0,1476.0
Micha Daling,6,3866,15.0,225.0,,,,,8.0,640.0,4.0,1022.0,3.0,1184.0,2.0,1332.0,,,2.0,1350.0,9.0,456.0,,
Dirk van de Riet,6,3866,17.0,150.0,5.0,680.0,10.0,552.0,4.0,1120.0,4.0,1022.0,3.0,1184.0,2.0,1332.0,,,2.0,1350.0,,,,
Jeroen Brus,8,3644,6.0,500.0,,,6.0,920.0,,,,,,,,,3.0,1248.0,,,,,2.0,1476.0
Simon Spengler,9,3488,,,,,,,,,3.0,1168.0,,,,,6.0,780.0,1.0,1500.0,6.0,760.0,5.0,820.0
Patrick de Lange,10,3340,4.0,700.0,1.0,1360.0,9.0,552.0,3.0,1280.0,,,,,,,,,,,,,,
