name,rank,points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Mady Smit,1,2500,,,1.0,1060.0,1.0,1440.0,,
Roos van der Wielen,1,2500,,,1.0,1060.0,1.0,1440.0,,
Sam Beard,3,2106,,,,,4.0,1008.0,2.0,1098.0
Lars Bouma,4,2068,,,3.0,848.0,,,1.0,1220.0
Agnes Berveling,5,1962,,,2.0,954.0,4.0,1008.0,,
Niels van Weerdenburg,6,1784,,,,,2.0,1296.0,8.0,488.0
Quinten van Duin,6,1784,,,,,2.0,1296.0,8.0,488.0
Tom Ottenheim,8,1682,,,6.0,530.0,3.0,1152.0,,
Bart Derks,8,1682,,,6.0,530.0,3.0,1152.0,,
Jannah Sonnenschein,10,1444,9.0,300.0,7.0,424.0,6.0,720.0,,
Linde Van Wambeke,11,1424,,,3.0,848.0,7.0,576.0,,
Carel Van Goch,12,1386,,,2.0,954.0,9.0,432.0,,
Konradin Müskens,13,1384,,,5.0,530.0,,,4.0,854.0
Bauke van der Kooij,14,1220,,,,,,,1.0,1220.0
Lauri Schippers,15,1144,,,7.0,424.0,6.0,720.0,,
Omar el tambouli,16,1098,,,,,,,2.0,1098.0
Tom Caniels,17,1079,16.0,225.0,,,,,4.0,854.0
David Teel,18,1000,1.0,1000.0,,,,,,
Sander Breman,18,1000,1.0,1000.0,,,,,,
Lukas Schubotz,20,988,6.0,500.0,,,,,7.0,488.0
Thijs Benschop,20,988,6.0,500.0,,,,,7.0,488.0
Carel van Goch,22,976,,,,,,,3.0,976.0
Maikel Schills,22,976,,,,,,,3.0,976.0
Arthur Boerman,24,900,2.0,900.0,,,,,,
Wouter Van Tongeren,24,900,2.0,900.0,,,,,,
Marjolein Veldman,26,851,,,,,8.0,576.0,15.0,275.0
Florian Verduijn,27,800,3.0,800.0,,,,,,
Geert Douwe de Vries,27,800,3.0,800.0,,,,,,
Gijs van Gerwen,29,755,16.0,225.0,5.0,530.0,,,,
Luuk Geelen,30,742,,,4.0,742.0,,,,
Peter Vree,30,742,,,4.0,742.0,,,,
Konstantin Dimov,32,720,,,,,5.0,720.0,,
Sven Gerritsen,32,720,,,,,5.0,720.0,,
Twan Zonneveld,34,700,4.0,700.0,,,,,,
Koen Zonneveld,34,700,4.0,700.0,,,,,,
Luke Wright,36,610,,,,,,,6.0,610.0
Fabian van Hummel,36,610,,,,,,,5.0,610.0
Jasper Hermsen,36,610,,,,,,,5.0,610.0
Steffen Gastineau,36,610,,,,,,,6.0,610.0
Haiko Rijkers,40,576,,,,,8.0,576.0,,
Sanne Schra,40,576,,,,,7.0,576.0,,
Ieke Berens,42,575,11.0,300.0,,,,,14.0,275.0
Thieri Balk,42,575,11.0,300.0,,,,,14.0,275.0
Remon Poelman,44,500,5.0,500.0,,,,,,
Job van Maastricht,44,500,5.0,500.0,,,,,,
Pippa Schippers,46,432,,,,,11.0,432.0,,
Luuk vd Klein,46,432,,,,,11.0,432.0,,
Melanie Haeusel,46,432,,,,,10.0,432.0,,
Thibaut Weller,46,432,,,,,10.0,432.0,,
Maikel Schils,46,432,,,,,9.0,432.0,,
Rebecca Fagerland,46,432,,,,,12.0,432.0,,
Raphaël Wiedmer,46,432,,,,,12.0,432.0,,
Sarah Sommerschuh,53,424,,,8.0,424.0,,,,
Lise Pieper,53,424,,,8.0,424.0,,,,
Ivo Wester,55,400,8.0,400.0,,,,,,
Sjef Holl,55,400,7.0,400.0,,,,,,
Niels van de Graaf,55,400,8.0,400.0,,,,,,
Bram Houweling,55,400,7.0,400.0,,,,,,
P muller,59,366,,,,,,,12.0,366.0
Stan an der Enden,59,366,,,,,,,10.0,366.0
Remco Klaasman,59,366,,,,,,,9.0,366.0
Milan Klaasman,59,366,,,,,,,9.0,366.0
Adam Drong,59,366,,,,,,,10.0,366.0
Frank Buigel,59,366,,,,,,,12.0,366.0
B houweling,59,366,,,,,,,11.0,366.0
M Saeidi ,59,366,,,,,,,11.0,366.0
Rémi Bummel,67,324,,,,,16.0,324.0,,
Jasper Voerman,67,324,,,,,14.0,324.0,,
Jess Moore,67,324,,,,,13.0,324.0,,
Tale Lechtenbörger,67,324,,,,,15.0,324.0,,
Sanne Hogesteeger,67,324,,,,,15.0,324.0,,
Klāvs Kalvenieks,67,324,,,,,16.0,324.0,,
Lars Jürgensen,67,324,,,,,13.0,324.0,,
Rianne Voerman,67,324,,,,,14.0,324.0,,
