name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-29_NK_rank,2024-06-29_NK_points
Jarec Schouten,1,4880.000000000002,2.0,900.0,1.0,1360.0000000000002,1.0,1840.0000000000007,2.0,1440.0000000000005,1.0,1460.0000000000005,1.0,1480.0000000000005,1.0,1480.0000000000005,1.0,1560.0000000000005,,,7.0,608.0000000000002,3.0,1312.0000000000005
Ravi Kandula,2,4754.000000000002,,,,,1.0,1840.0000000000007,1.0,1600.0000000000005,2.0,1314.0000000000005,,,,,,,,,,,,
Aleksandrs Juška,3,4680.000000000002,2.0,900.0,,,,,2.0,1440.0000000000005,1.0,1460.0000000000005,1.0,1480.0000000000005,1.0,1480.0000000000005,1.0,1560.0000000000005,,,,,1.0,1640.0000000000005
Stan van Manen,4,4092.0000000000014,8.0,400.0,,,7.0,736.0000000000003,3.0,1280.0000000000005,3.0,1168.0000000000002,,,3.0,1184.0000000000005,4.0,1092.0000000000005,1.0,1500.0000000000005,18.0,228.00000000000006,3.0,1312.0000000000005
Rudo Brus,5,3924.0000000000014,11.0,300.0,6.0,680.0000000000001,6.0,920.0000000000003,6.0,800.0000000000002,8.0,584.0000000000001,10.0,444.0000000000001,,,3.0,1248.0000000000005,3.0,1200.0000000000005,,,2.0,1476.0000000000005
Micha Daling,6,3866.0000000000014,15.0,225.0,,,,,8.0,640.0000000000002,4.0,1022.0000000000003,3.0,1184.0000000000005,2.0,1332.0000000000005,,,2.0,1350.0000000000005,9.0,456.0000000000001,,
Dirk van de Riet,6,3866.0000000000014,17.0,150.0,5.0,680.0000000000001,10.0,552.0000000000002,4.0,1120.0000000000005,4.0,1022.0000000000003,3.0,1184.0000000000005,2.0,1332.0000000000005,,,2.0,1350.0000000000005,,,,
Jeroen Brus,8,3644.0000000000014,6.0,500.0,,,6.0,920.0000000000003,,,,,,,,,3.0,1248.0000000000005,,,,,2.0,1476.0000000000005
Simon Spengler,9,3488.000000000001,,,,,,,,,3.0,1168.0000000000002,,,,,6.0,780.0000000000002,1.0,1500.0000000000005,6.0,760.0000000000002,5.0,820.0000000000002
Patrick de Lange,10,3340.000000000001,4.0,700.0,1.0,1360.0000000000002,9.0,552.0000000000002,3.0,1280.0000000000005,,,,,,,,,,,,,,
Tim Teunis,11,3286.000000000001,13.0,225.0,3.0,1088.0000000000002,11.0,552.0000000000002,5.0,800.0000000000002,5.0,730.0000000000002,11.0,444.0000000000001,4.0,1036.0000000000002,5.0,780.0000000000002,4.0,1050.0000000000002,,,4.0,1148.0000000000005
Lauma Ernestsone,12,3230.000000000001,16.0,225.0,,,20.0,276.0000000000001,,,2.0,1314.0000000000005,,,,,,,,,,,1.0,1640.0000000000005
Stijn Slebos,13,3174.000000000001,13.0,225.0,3.0,1088.0000000000002,15.0,414.00000000000017,5.0,800.0000000000002,5.0,730.0000000000002,11.0,444.0000000000001,4.0,1036.0000000000002,5.0,780.0000000000002,4.0,1050.0000000000002,17.0,228.00000000000006,8.0,656.0000000000002
Thibault Mareschal,14,2960.000000000001,4.0,700.0,,,9.0,552.0000000000002,,,,,6.0,740.0000000000002,,,,,,,1.0,1520.0000000000005,,
Ward Nieboer,15,2948.000000000001,9.0,300.0,,,,,,,,,,,,,4.0,1092.0000000000005,3.0,1200.0000000000005,,,8.0,656.0000000000002
Mark de Jong,16,2944.000000000001,8.0,400.0,,,7.0,736.0000000000003,1.0,1600.0000000000005,,,,,,,,,,,7.0,608.0000000000002,,
Maurice Jantjes,17,2921.000000000001,14.0,225.0,2.0,1224.0000000000002,3.0,1472.0000000000007,,,,,,,,,,,,,,,,
Tomer Kedar,18,2634.000000000001,,,,,18.0,276.0000000000001,13.0,360.0000000000001,6.0,730.0000000000002,9.0,444.0000000000001,6.0,740.0000000000002,7.0,624.0000000000002,5.0,750.0000000000002,4.0,1064.0000000000002,6.0,820.0000000000002
Rens Elbertsen,18,2634.000000000001,,,,,,,16.0,360.0000000000001,6.0,730.0000000000002,9.0,444.0000000000001,6.0,740.0000000000002,7.0,624.0000000000002,5.0,750.0000000000002,4.0,1064.0000000000002,6.0,820.0000000000002
Joep Blanksma,20,2568.000000000001,21.0,150.0,9.0,408.0000000000001,11.0,552.0000000000002,7.0,640.0000000000002,,,,,,,6.0,780.0000000000002,,,,,4.0,1148.0000000000005
Niels de Jonge,21,2550.000000000001,,,5.0,680.0000000000001,10.0,552.0000000000002,4.0,1120.0000000000005,,,,,,,10.0,468.00000000000017,6.0,750.0000000000002,11.0,456.0000000000001,,
Yuan Tjiam,22,2452.000000000001,20.0,150.0,4.0,952.0000000000002,16.0,414.00000000000017,12.0,480.00000000000017,,,12.0,444.0000000000001,5.0,740.0000000000002,9.0,468.00000000000017,,,6.0,760.0000000000002,10.0,492.00000000000017
