name,rank,points,2023-09-02_NK_rank,2023-09-02_NK_points,2024-06-29_NK_rank,2024-06-29_NK_points
Roos van der Wielen,1,1906,4.0,700.0,2.0,1206.0
Ilonka Thielen,2,1872,3.0,800.0,3.0,1072.0
Lauri Schippers,3,1370,4.0,700.0,5.0,670.0
Shauny Dieltjes,4,1340,,,1.0,1340.0
Shannon Dieltjes,4,1340,,,1.0,1340.0
Agnes Berveling,6,1338,7.0,400.0,4.0,938.0
Mady Smit,7,1206,,,2.0,1206.0
Roos van der Donk,8,1072,,,3.0,1072.0
Eline Meijer,9,1000,1.0,1000.0,,
Sophie Bouma,9,1000,1.0,1000.0,,
Suzanne Slob,11,938,,,4.0,938.0
Lise Pieper,12,936,7.0,400.0,7.0,536.0
Tessel van Manen,13,900,2.0,900.0,,
Lauma Ernestsone,13,900,2.0,900.0,,
Roos Van der Donk,15,800,3.0,800.0,,
Michelle Sudjito,16,702,10.0,300.0,11.0,402.0
Britt Engel,16,702,10.0,300.0,11.0,402.0
Jannah Sonnenschein,18,670,,,5.0,670.0
Sanne Schra,18,670,,,6.0,670.0
Pippa Schippers,18,670,,,6.0,670.0
Rianne Voerman,21,536,,,8.0,536.0
Dana Voerman,21,536,,,8.0,536.0
Marta Devesa Cabrera,21,536,,,7.0,536.0
Merel Buijs,24,500,6.0,500.0,,
Sophia Walser,24,500,6.0,500.0,,
Annabel Beiner,24,500,5.0,500.0,,
Jessica Borgers,24,500,5.0,500.0,,
Maud Wieland,28,402,,,9.0,402.0
Clemence Joly,28,402,,,12.0,402.0
Maud Loiseau,28,402,,,12.0,402.0
Lisa Theijsmeijer,28,402,,,9.0,402.0
Nici Friedman,28,402,,,10.0,402.0
Laura Verstraete,28,402,,,10.0,402.0
Annelies van Cooten,34,400,8.0,400.0,,
Anna Strijker,34,400,8.0,400.0,,
Roos Denisse,36,300,12.0,300.0,,
Juliëtte Peletier,36,300,9.0,300.0,,
Anneke Poelen,36,300,11.0,300.0,,
Merel Peletier,36,300,9.0,300.0,,
Dorette Kouwenhoven,36,300,11.0,300.0,,
Emma Boom,36,300,12.0,300.0,,
