Tournament Name,Date,Players,Tournament strength multiplier,Ranked player multiplier increase,Unranked player multiplier increase,Age multiplier,Multiplier
Enschede,2023-04-22,70,1.9,0.0,0.9,0.4,0.76
Groningen,2023-05-27,42,1.66,0.47,0.19,0.4,0.66
Amsterdam,2023-06-17,84,2.92,1.34,0.58,0.6,1.75
NK,2023-09-02,38,2.23,1.17,0.06,0.6,1.34
Enschede,2023-11-26,24,1.88,0.77,0.1,0.6,1.12
Amsterdam,2024-01-20,56,2.23,0.85,0.38,0.8,1.78
Groningen,2024-02-11,38,1.95,0.85,0.1,0.8,1.56
Enschede,2024-04-06,34,2.16,1.03,0.13,0.8,1.72
Groningen,2024-05-04,38,1.79,0.76,0.03,0.8,1.43
Amsterdam,2024-06-01,36,2.37,0.87,0.49,0.8,1.89
NK,2024-06-29,40,2.19,1.19,0.0,1.0,2.19
EnschedeIndoor,2024-11-30,24,1.49,0.43,0.06,1.0,1.49
GroningenIndoor,2025-01-19,10,1.1,0.1,0.0,1.0,1.1
AmsterdamIndoor,2025-02-23,16,1.53,0.14,0.39,1.0,1.53
UtrechtIndoor,2025-03-15,16,1.3,0.15,0.15,1.0,1.3
Groningen,2025-05-03,20,1.4,0.27,0.13,1.0,1.4
Enschede,2025-06-01,38,2.04,0.72,0.32,1.0,2.04
Amsterdam,2025-06-14,24,1.71,0.55,0.16,1.0,1.71
