Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Steven Biemans,1,2064,NK 2023-09-02 - Place: 3 Points: 1064.0,NK 2024-06-29 - Place: 4 Points: 999.6,
Jary Kooijman,2,1798,NK 2024-06-29 - Place: 4 Points: 999.6,NK 2023-09-02 - Place: 5 Points: 798.0,
Klemen Peganc,3,1428,NK 2024-06-29 - Place: 1 Points: 1428.0,,
Nikola Gersanov,4,1428,NK 2024-06-29 - Place: 1 Points: 1428.0,,
Quinten van Duin,5,1330,NK 2023-09-02 - Place: 1 Points: 1330.0,,
Niels van Weerdenburg,6,1330,NK 2023-09-02 - Place: 1 Points: 1330.0,,
Koen Franken,7,1285,NK 2024-06-29 - Place: 2 Points: 1285.2,,
Luc van Iperen,8,1285,NK 2024-06-29 - Place: 2 Points: 1285.2,,
Tim de Goede,9,1197,NK 2023-09-02 - Place: 2 Points: 1197.0,,
Maikel Tuit,10,1197,NK 2023-09-02 - Place: 2 Points: 1197.0,,
Julian Baks,11,1142,NK 2024-06-29 - Place: 3 Points: 1142.4,,
Jurriën van Marle,12,1142,NK 2024-06-29 - Place: 3 Points: 1142.4,,
Kevin Focke,13,1064,NK 2023-09-02 - Place: 3 Points: 1064.0,,
Ricardo Brouwer,14,931,NK 2023-09-02 - Place: 4 Points: 931.0,,
Arjen Poulie,15,931,NK 2023-09-02 - Place: 4 Points: 931.0,,
Rogier Edelschaap,16,857,NK 2024-06-29 - Place: 5 Points: 856.8,,
David Hielkema,17,857,NK 2024-06-29 - Place: 5 Points: 856.8,,
Daphne Lardinois,18,857,NK 2024-06-29 - Place: 6 Points: 856.8,,
Sjef Holl,19,857,NK 2024-06-29 - Place: 6 Points: 856.8,,
Rianne Voerman,20,798,NK 2023-09-02 - Place: 5 Points: 798.0,,
Fabio Groen,21,798,NK 2023-09-02 - Place: 6 Points: 798.0,,
Riccardo Minelli,22,798,NK 2023-09-02 - Place: 6 Points: 798.0,,
Magali de Rooy,23,714,NK 2024-06-29 - Place: 7 Points: 714.0,,
Jeroen Vriens,24,714,NK 2024-06-29 - Place: 7 Points: 714.0,,
Janna Jansma,25,714,NK 2024-06-29 - Place: 8 Points: 714.0,,
Gijs van Gerwen,26,714,NK 2024-06-29 - Place: 8 Points: 714.0,,
Rafael Nierse,27,665,NK 2023-09-02 - Place: 7 Points: 665.0,,
Hannes Holl,28,665,NK 2023-09-02 - Place: 7 Points: 665.0,,
Wim Verschuren,29,665,NK 2023-09-02 - Place: 8 Points: 665.0,,
Bo Zonneveld,30,665,NK 2023-09-02 - Place: 8 Points: 665.0,,
Lech Backhuizen,31,571,NK 2024-06-29 - Place: 9 Points: 571.2,,
Marieke Goode,32,571,NK 2024-06-29 - Place: 9 Points: 571.2,,
Jurre Buiting,33,571,NK 2024-06-29 - Place: 10 Points: 571.2,,
Stan van Bentum,34,571,NK 2024-06-29 - Place: 10 Points: 571.2,,
Joris Piree,35,571,NK 2024-06-29 - Place: 11 Points: 571.2,,
Bas Ramaekers,36,571,NK 2024-06-29 - Place: 11 Points: 571.2,,
