Tournament Name,Date,Players,Tournament strength multiplier,Ranked player multiplier increase,Unranked player multiplier increase,Age multiplier,Multiplier
NK,2023-09-02,38,1.9,0.0,0.9,0.6,1.14
Enschede,2023-11-26,18,1.91,0.07,0.84,0.6,1.14
Amsterdam,2024-06-01,48,2.06,0.68,0.38,0.8,1.65
NK,2024-06-29,40,1.74,0.42,0.32,1.0,1.74
GroningenIndoor,2025-01-19,8,1.56,0.01,0.56,1.0,1.56
AmsterdamIndoor,2025-02-23,16,1.69,0.27,0.42,1.0,1.69
UtrechtIndoor,2025-03-15,14,1.61,0.16,0.45,1.0,1.61
Groningen,2025-05-03,18,1.88,0.01,0.87,1.0,1.88
Enschede,2025-06-01,22,1.78,0.36,0.41,1.0,1.78
Amsterdam,2025-06-14,8,1.3,0.01,0.3,1.0,1.3
