Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Sanne Schra,1,2490,Amsterdam 2025-06-14 - Place: 2 Points: 1008.0,Utrecht 2025-07-20 - Place: 4 Points: 931.0,NK 2024-06-29 - Place: 6 Points: 551.04
Agnes Berveling,2,2470,Utrecht 2025-07-20 - Place: 4 Points: 931.0,Amsterdam 2025-06-14 - Place: 3 Points: 896.0,NK 2024-06-29 - Place: 4 Points: 642.88
Jannah Sonnenschein,3,2469,Amsterdam 2025-06-14 - Place: 1 Points: 1120.0,Utrecht 2025-07-20 - Place: 5 Points: 798.0,NK 2024-06-29 - Place: 5 Points: 551.04
Roos van der Wielen,4,2451,Utrecht 2025-07-20 - Place: 1 Points: 1330.0,NK 2024-06-29 - Place: 2 Points: 826.56,NK 2023-09-02 - Place: 4 Points: 294.0
Mady Smit,5,2157,Utrecht 2025-07-20 - Place: 1 Points: 1330.0,NK 2024-06-29 - Place: 2 Points: 826.56,
Roos van der Donk,6,2135,Utrecht 2025-07-20 - Place: 3 Points: 1064.0,NK 2024-06-29 - Place: 3 Points: 734.72,NK 2023-09-02 - Place: 3 Points: 336.0
Shauny Dieltjes,7,2115,Utrecht 2025-07-20 - Place: 2 Points: 1197.0,NK 2024-06-29 - Place: 1 Points: 918.4,
Lauri Schippers,8,1965,Amsterdam 2025-06-14 - Place: 1 Points: 1120.0,NK 2024-06-29 - Place: 5 Points: 551.04,NK 2023-09-02 - Place: 4 Points: 294.0
Lise Pieper,9,1908,Amsterdam 2025-06-14 - Place: 4 Points: 784.0,Utrecht 2025-07-20 - Place: 7 Points: 665.0,NK 2024-06-29 - Place: 7 Points: 459.2
Marta devesa Cabrera,10,1908,Amsterdam 2025-06-14 - Place: 4 Points: 784.0,Utrecht 2025-07-20 - Place: 7 Points: 665.0,NK 2024-06-29 - Place: 7 Points: 459.2
Sophie Bouma,11,1617,Utrecht 2025-07-20 - Place: 2 Points: 1197.0,NK 2023-09-02 - Place: 1 Points: 420.0,
Suzanne Slob,12,1441,Utrecht 2025-07-20 - Place: 6 Points: 798.0,NK 2024-06-29 - Place: 4 Points: 642.88,
Pippa Schippers,13,1223,Amsterdam 2025-06-14 - Place: 5 Points: 672.0,NK 2024-06-29 - Place: 6 Points: 551.04,
Tessel van Manen,14,1176,Utrecht 2025-07-20 - Place: 5 Points: 798.0,NK 2023-09-02 - Place: 2 Points: 378.0,
Annabel Beiner,15,1148,Amsterdam 2025-06-14 - Place: 3 Points: 896.0,NK 2023-09-02 - Place: 5 Points: 252.0,
Ilonka Thielen,16,1071,NK 2024-06-29 - Place: 3 Points: 734.72,NK 2023-09-02 - Place: 3 Points: 336.0,
Solange schrijnder van Velzen,17,1064,Utrecht 2025-07-20 - Place: 3 Points: 1064.0,,
