Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Niels van Weerdenburg,1,2166,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,Amsterdam 2024-06-01 - Place: 2 Points: 846.72,Almere 2025-09-13 - Place: 8 Points: 455.0
Jannah Sonnenschein,2,1921,Enschede 2025-06-01 - Place: 2 Points: 837.9,Amsterdam 2024-06-01 - Place: 6 Points: 564.48,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7
Lauri Schippers,3,1921,Enschede 2025-06-01 - Place: 2 Points: 837.9,Amsterdam 2024-06-01 - Place: 6 Points: 564.48,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7
Agnes Berveling,4,1806,Enschede 2025-06-01 - Place: 3 Points: 744.8,Amsterdam 2024-06-01 - Place: 4 Points: 658.56,Enschede 2023-11-26 - Place: 2 Points: 402.57
Jasper Hermsen,5,1784,Enschede 2025-06-01 - Place: 1 Points: 931.0,NK 2024-06-29 - Place: 5 Points: 488.88,Almere 2025-09-13 - Place: 9 Points: 364.0
Klemen Peganc,6,1757,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,Amsterdam 2024-06-01 - Place: 17 Points: 188.16
Sanne Schra,7,1676,Enschede 2025-06-01 - Place: 4 Points: 651.7,UtrechtIndoor 2025-03-15 - Place: 4 Points: 553.7,Amsterdam 2024-06-01 - Place: 7 Points: 470.4
Matic Pusser,8,1569,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,
Rianne Voerman,9,1511,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,Almere 2025-09-13 - Place: 12 Points: 364.0,Amsterdam 2024-06-01 - Place: 14 Points: 282.24
Carel van Goch,10,1431,NK 2024-06-29 - Place: 3 Points: 651.84,Enschede 2023-11-26 - Place: 2 Points: 402.57,Amsterdam 2024-06-01 - Place: 9 Points: 376.32
Sam Beard,11,1392,NK 2024-06-29 - Place: 2 Points: 733.32,Amsterdam 2024-06-01 - Place: 4 Points: 658.56,
Mady Smit,12,1388,Amsterdam 2024-06-01 - Place: 1 Points: 940.8,Enschede 2023-11-26 - Place: 1 Points: 447.3,
Roos van der Wielen,13,1388,Amsterdam 2024-06-01 - Place: 1 Points: 940.8,Enschede 2023-11-26 - Place: 1 Points: 447.3,
