Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3682,NK 2025-09-13 - Place: 1 Points: 1438.5,Enschede 2025-11-30 - Place: 1 Points: 1263.5,Enschede 2025-06-01 - Place: 3 Points: 980.0
Tomer Kedar,2,3650,NK 2025-09-13 - Place: 2 Points: 1294.65,Utrecht 2026-02-21 - Place: 1 Points: 1253.0,Enschede 2025-06-01 - Place: 2 Points: 1102.5
Jarec Schouten,3,3612,Enschede 2025-11-30 - Place: 1 Points: 1263.5,Amsterdam 2026-01-17 - Place: 1 Points: 1256.5,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0
Lauma Ernestsone,4,3552,NK 2025-09-13 - Place: 1 Points: 1438.5,Enschede 2025-06-01 - Place: 2 Points: 1102.5,Enschede 2025-11-30 - Place: 3 Points: 1010.8
Rudo Brus,5,3424,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2025-09-13 - Place: 3 Points: 1150.8,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0
Sam Beard,6,3268,Utrecht 2026-02-21 - Place: 1 Points: 1253.0,Amsterdam 2026-01-17 - Place: 2 Points: 1130.85,Enschede 2025-11-30 - Place: 4 Points: 884.45
Jeroen Brus,7,3188,Utrecht 2025-07-20 - Place: 2 Points: 1181.25,NK 2025-09-13 - Place: 3 Points: 1150.8,NK 2024-06-29 - Place: 2 Points: 856.17
Sander Breman,8,3130,Amsterdam 2026-01-17 - Place: 1 Points: 1256.5,Enschede 2025-11-30 - Place: 3 Points: 1010.8,NK 2025-09-13 - Place: 6 Points: 863.1
Thibault Mareschal,9,2800,NK 2025-09-13 - Place: 4 Points: 1006.95,Amsterdam 2026-01-17 - Place: 3 Points: 1005.2,Amsterdam 2024-06-01 - Place: 1 Points: 787.5
Stan van Manen,10,2795,NK 2025-09-13 - Place: 4 Points: 1006.95,Amsterdam 2026-01-17 - Place: 3 Points: 1005.2,Groningen 2024-05-04 - Place: 1 Points: 783.3
Florian Engelsing,11,2756,Amsterdam 2026-01-17 - Place: 2 Points: 1130.85,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,Utrecht 2026-02-21 - Place: 5 Points: 751.8
Bart Derks,12,2526,Utrecht 2026-02-21 - Place: 3 Points: 1002.4,NK 2025-09-13 - Place: 5 Points: 863.1,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8
Simen Bootsma,13,2422,NK 2025-09-13 - Place: 5 Points: 863.1,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Fabian van Hummel,14,2413,Groningen 2025-05-03 - Place: 1 Points: 906.5,Utrecht 2025-07-20 - Place: 5 Points: 787.5,NK 2025-09-13 - Place: 8 Points: 719.25
Lars Bouma,15,2388,Amsterdam 2026-01-17 - Place: 4 Points: 879.55,Utrecht 2026-02-21 - Place: 4 Points: 877.1,Enschede 2025-11-30 - Place: 7 Points: 631.75
Justus Klapperich,16,2362,Enschede 2025-06-01 - Place: 1 Points: 1225.0,Enschede 2025-11-30 - Place: 2 Points: 1137.15,
David Teel,17,2353,NK 2025-09-13 - Place: 6 Points: 863.1,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2
Ward Nieboer,18,2300,Utrecht 2025-07-20 - Place: 5 Points: 787.5,Enschede 2025-11-30 - Place: 5 Points: 758.1,Amsterdam 2026-01-17 - Place: 6 Points: 753.9
Koen Franken,19,2264,Enschede 2025-11-30 - Place: 4 Points: 884.45,Utrecht 2026-02-21 - Place: 5 Points: 751.8,Amsterdam 2026-01-17 - Place: 7 Points: 628.25
Teo Kukuljan,20,2263,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 782.46,Enschede 2023-04-22 - Place: 6 Points: 168.0
Luc Young,21,2206,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4,GroningenIndoor 2025-01-19 - Place: 1 Points: 646.8
Luca Marrer,22,2095,Utrecht 2025-07-20 - Place: 1 Points: 1312.5,Enschede 2024-04-06 - Place: 2 Points: 782.46,
Daniel Peereboom,23,2084,Utrecht 2026-02-21 - Place: 4 Points: 877.1,Enschede 2025-11-30 - Place: 7 Points: 631.75,NK 2025-09-13 - Place: 9 Points: 575.4
Tjebbe Treub,24,2083,Utrecht 2025-07-20 - Place: 6 Points: 787.5,EnschedeIndoor 2024-11-30 - Place: 3 Points: 660.8,Groningen 2025-05-03 - Place: 4 Points: 634.55
Rens Elbertsen,25,2083,Enschede 2025-11-30 - Place: 5 Points: 758.1,Amsterdam 2026-01-17 - Place: 5 Points: 753.9,NK 2024-06-29 - Place: 6 Points: 570.78
Roos van der Wielen,26,2054,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 812.0,Utrecht 2026-02-21 - Place: 6 Points: 751.8,Enschede 2025-06-01 - Place: 12 Points: 490.0
Jasper Toebes,27,1984,Groningen 2025-05-03 - Place: 1 Points: 906.5,NK 2025-09-13 - Place: 8 Points: 719.25,NK 2023-09-02 - Place: 6 Points: 358.68
Stan van der Enden,28,1931,Amsterdam 2026-01-17 - Place: 4 Points: 879.55,Amsterdam 2025-06-14 - Place: 7 Points: 546.0,Enschede 2025-11-30 - Place: 12 Points: 505.4
Dirk van de Riet,29,1902,Groningen 2024-05-04 - Place: 2 Points: 704.97,Utrecht 2026-02-21 - Place: 8 Points: 626.5,NK 2024-06-29 - Place: 5 Points: 570.78
Mady Smit,30,1896,Enschede 2025-06-01 - Place: 6 Points: 735.0,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,Enschede 2025-11-30 - Place: 10 Points: 505.4
Klara Schöttgen,31,1894,Amsterdam 2026-01-17 - Place: 6 Points: 753.9,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 649.6,Enschede 2025-06-01 - Place: 12 Points: 490.0
Simon Spengler,32,1876,Groningen 2024-05-04 - Place: 1 Points: 783.3,NK 2024-06-29 - Place: 5 Points: 570.78,Enschede 2024-04-06 - Place: 6 Points: 521.64
Tim Teunis,33,1875,NK 2024-06-29 - Place: 4 Points: 665.91,EnschedeIndoor 2024-11-30 - Place: 3 Points: 660.8,Groningen 2024-05-04 - Place: 4 Points: 548.31
Omar el Tambouli,34,1858,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,Utrecht 2025-07-20 - Place: 8 Points: 656.25,Utrecht 2026-02-21 - Place: 15 Points: 375.9
Lauri Schippers,35,1798,Enschede 2025-11-30 - Place: 6 Points: 758.1,Groningen 2025-05-03 - Place: 5 Points: 543.9,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6
Gabriele Brazzo,36,1757,Amsterdam 2025-06-14 - Place: 2 Points: 982.8,Utrecht 2025-07-20 - Place: 14 Points: 393.75,NK 2024-06-29 - Place: 11 Points: 380.52
Ravi Kandula,37,1757,Amsterdam 2023-06-17 - Place: 1 Points: 704.2,NK 2023-09-02 - Place: 1 Points: 597.8,Enschede 2023-11-26 - Place: 2 Points: 454.86
Niels Kadijk,38,1737,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,NK 2025-09-13 - Place: 12 Points: 575.4,Utrecht 2026-02-21 - Place: 12 Points: 501.2
Stijn Slebos,39,1725,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,Groningen 2024-05-04 - Place: 4 Points: 548.31,Enschede 2024-04-06 - Place: 5 Points: 521.64
Jan Schmitz,40,1701,Enschede 2025-11-30 - Place: 8 Points: 631.75,Groningen 2025-05-03 - Place: 5 Points: 543.9,Utrecht 2025-07-20 - Place: 10 Points: 525.0
Maikel Schils,41,1679,UtrechtIndoor 2025-03-15 - Place: 4 Points: 578.2,NK 2025-09-13 - Place: 10 Points: 575.4,Utrecht 2025-07-20 - Place: 11 Points: 525.0
Roos van der Donk,42,1642,Utrecht 2026-02-21 - Place: 6 Points: 751.8,Groningen 2025-05-03 - Place: 7 Points: 453.25,Amsterdam 2025-06-14 - Place: 10 Points: 436.8
