Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Niels van Weerdenburg,1,2432,Amsterdam 2024-06-01 - Place: 2 Points: 1058.4,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,NK 2024-06-29 - Place: 8 Points: 509.25
Carel van Goch,2,1822,NK 2024-06-29 - Place: 3 Points: 814.8,Enschede 2023-11-26 - Place: 2 Points: 536.76,Amsterdam 2024-06-01 - Place: 9 Points: 470.4
Klemen Peganc,3,1804,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,Amsterdam 2024-06-01 - Place: 17 Points: 235.2
Mady Smit,4,1772,Amsterdam 2024-06-01 - Place: 1 Points: 1176.0,Enschede 2023-11-26 - Place: 1 Points: 596.4,
Roos van der Wielen,5,1772,Amsterdam 2024-06-01 - Place: 1 Points: 1176.0,Enschede 2023-11-26 - Place: 1 Points: 596.4,
Sam Beard,6,1740,NK 2024-06-29 - Place: 2 Points: 916.65,Amsterdam 2024-06-01 - Place: 4 Points: 823.2,
Sanne Schra,7,1574,Amsterdam 2024-06-01 - Place: 7 Points: 588.0,UtrechtIndoor 2025-03-15 - Place: 4 Points: 553.7,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 432.25
Matic Pusser,8,1569,UtrechtIndoor 2025-03-15 - Place: 1 Points: 791.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 778.05,
Quinten van Duin,9,1568,Amsterdam 2024-06-01 - Place: 2 Points: 1058.4,NK 2024-06-29 - Place: 8 Points: 509.25,
Jannah Sonnenschein,10,1523,Amsterdam 2024-06-01 - Place: 6 Points: 705.6,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7,Enschede 2023-11-26 - Place: 7 Points: 298.2
Lauri Schippers,11,1523,Amsterdam 2024-06-01 - Place: 6 Points: 705.6,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 518.7,Enschede 2023-11-26 - Place: 7 Points: 298.2
Lars Bouma,12,1496,NK 2024-06-29 - Place: 1 Points: 1018.5,Enschede 2023-11-26 - Place: 3 Points: 477.12,
Agnes Berveling,13,1360,Amsterdam 2024-06-01 - Place: 4 Points: 823.2,Enschede 2023-11-26 - Place: 2 Points: 536.76,
Steffen Gastineau,14,1332,GroningenIndoor 2025-01-19 - Place: 1 Points: 721.0,NK 2024-06-29 - Place: 6 Points: 611.1,
Tom Ottenheim,15,1299,Amsterdam 2024-06-01 - Place: 3 Points: 940.8,Enschede 2023-11-26 - Place: 6 Points: 357.84,
Bart Derks,16,1299,Amsterdam 2024-06-01 - Place: 3 Points: 940.8,Enschede 2023-11-26 - Place: 6 Points: 357.84,
Tomas Vermeulen,17,1289,UtrechtIndoor 2025-03-15 - Place: 2 Points: 711.9,GroningenIndoor 2025-01-19 - Place: 3 Points: 576.8,
Maikel Schils,18,1285,NK 2024-06-29 - Place: 3 Points: 814.8,Amsterdam 2024-06-01 - Place: 9 Points: 470.4,
Rianne Voerman,19,1217,AmsterdamIndoor 2025-02-23 - Place: 1 Points: 864.5,Amsterdam 2024-06-01 - Place: 14 Points: 352.8,
Suzanne Slob,20,1110,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 605.15,GroningenIndoor 2025-01-19 - Place: 4 Points: 504.7,
Konradin Müskens,21,1071,NK 2024-06-29 - Place: 4 Points: 712.95,Enschede 2023-11-26 - Place: 5 Points: 357.84,
Linde van Wambeke,22,1065,Amsterdam 2024-06-01 - Place: 7 Points: 588.0,Enschede 2023-11-26 - Place: 3 Points: 477.12,
Bauke van der Kooij,23,1018,NK 2024-06-29 - Place: 1 Points: 1018.5,,
Loes de Groen,24,979,GroningenIndoor 2025-01-19 - Place: 4 Points: 504.7,UtrechtIndoor 2025-03-15 - Place: 6 Points: 474.6,
Omar el Tambouli,25,917,NK 2024-06-29 - Place: 2 Points: 916.65,,
Pippa Schippers,26,903,Amsterdam 2024-06-01 - Place: 11 Points: 470.4,AmsterdamIndoor 2025-02-23 - Place: 7 Points: 432.25,
Marjolein Veldman,27,894,Amsterdam 2024-06-01 - Place: 8 Points: 588.0,NK 2024-06-29 - Place: 15 Points: 305.55,
Tom Caniels,28,839,NK 2024-06-29 - Place: 4 Points: 712.95,NK 2023-09-02 - Place: 16 Points: 126.0,
Lise Pieper,29,773,UtrechtIndoor 2025-03-15 - Place: 5 Points: 474.6,Enschede 2023-11-26 - Place: 8 Points: 298.2,
Lukas Schubotz,30,761,NK 2024-06-29 - Place: 7 Points: 509.25,NK 2023-09-02 - Place: 6 Points: 252.0,
Thijs Benschop,31,761,NK 2024-06-29 - Place: 7 Points: 509.25,NK 2023-09-02 - Place: 6 Points: 252.0,
Simmeon Gastineau,32,721,GroningenIndoor 2025-01-19 - Place: 1 Points: 721.0,,
Carien Boessenkool,33,712,UtrechtIndoor 2025-03-15 - Place: 2 Points: 711.9,,
Konstantin Dimov,34,706,Amsterdam 2024-06-01 - Place: 5 Points: 705.6,,
Sven Gerritsen,35,706,Amsterdam 2024-06-01 - Place: 5 Points: 705.6,,
Jurriën van Marle,36,692,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 691.6,,
Sergio Vianen,37,692,AmsterdamIndoor 2025-02-23 - Place: 3 Points: 691.6,,
Maud Wieland,38,667,AmsterdamIndoor 2025-02-23 - Place: 8 Points: 432.25,Amsterdam 2024-06-01 - Place: 20 Points: 235.2,
