name,rank,points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Roos van der Wielen,1,2180,4.0,700.0,560.0,2.0,1620.0,1620.0
Ilonka Thielen,2,2080,3.0,800.0,640.0,3.0,1440.0,1440.0
Roos van der Donk,2,2080,3.0,800.0,640.0,3.0,1440.0,1440.0
Shauny Dieltjes,4,1800,,,,1.0,1800.0,1800.0
Shannon Dieltjes,4,1800,,,,1.0,1800.0,1800.0
Mady Smit,6,1620,,,,2.0,1620.0,1620.0
Agnes Berveling,7,1580,7.0,400.0,320.0,4.0,1260.0,1260.0
Lauri Schippers,8,1460,4.0,700.0,560.0,5.0,900.0,900.0
Suzanne Slob,9,1260,,,,4.0,1260.0,1260.0
Lise Pieper,10,1040,7.0,400.0,320.0,7.0,720.0,720.0
Jannah Sonnenschein,11,900,,,,5.0,900.0,900.0
Sanne Schra,11,900,,,,6.0,900.0,900.0
Pippa Schippers,11,900,,,,6.0,900.0,900.0
Eline Meijer,14,800,1.0,1000.0,800.0,,,
Sophie Bouma,14,800,1.0,1000.0,800.0,,,
Britt Engel,16,780,10.0,300.0,240.0,11.0,540.0,540.0
Michelle Sudjito,16,780,10.0,300.0,240.0,11.0,540.0,540.0
Dana Voerman,18,720,,,,8.0,720.0,720.0
Marta Devesa Cabrera,18,720,,,,7.0,720.0,720.0
Rianne Voerman,18,720,,,,8.0,720.0,720.0
Tessel van Manen,18,720,2.0,900.0,720.0,,,
Lauma Ernestsone,18,720,2.0,900.0,720.0,,,
Maud Wieland,23,540,,,,9.0,540.0,540.0
Clemence Joly,23,540,,,,12.0,540.0,540.0
Lisa Theijsmeijer,23,540,,,,9.0,540.0,540.0
Nici Friedman,23,540,,,,10.0,540.0,540.0
Laura Verstraete,23,540,,,,10.0,540.0,540.0
Maud Loiseau,23,540,,,,12.0,540.0,540.0
Jessica Borgers,29,400,5.0,500.0,400.0,,,
Merel Buijs,29,400,6.0,500.0,400.0,,,
Sophia Walser,29,400,6.0,500.0,400.0,,,
Annabel Beiner,29,400,5.0,500.0,400.0,,,
Anna Strijker,33,320,8.0,400.0,320.0,,,
Annelies van Cooten,33,320,8.0,400.0,320.0,,,
Anneke Poelen,35,240,11.0,300.0,240.0,,,
Juliëtte Peletier,35,240,9.0,300.0,240.0,,,
Merel Peletier,35,240,9.0,300.0,240.0,,,
Dorette Kouwenhoven,35,240,11.0,300.0,240.0,,,
Emma Boom,35,240,12.0,300.0,240.0,,,
Roos Denisse,35,240,12.0,300.0,240.0,,,
